Key	Type	Desc	English	Polish	German
15bit	Text		15-bit	15-bit	15-Bit
15bitDither	Text		15-bit (Dither)	15-bit (Dither)	15-Bit (Dither)
24bit	Text		24-bit	24-bit	24-Bit
AcceptEula	Text	1.0	I accept the end-user license agreement	Akceptuję umowę licencyjną użytkownika końcowego	Ich stimme der Endnutzer-Lizenzvereinbarung zu
Achievements/CatchStarlightNautilus	Text		Legendary Fossil	Legendarna Skamielina	Legendäres Fossil
Achievements/CherryBlossomTrees	Text		5 Centimeters Per Second	5 Centymetrów Na Sekundę	5 Zentimeter pro Sekunde
Achievements/DefeatAtlanteanWorm	Text		Thalassophobia	Talasofobia	Thalassophobie
Achievements/DefeatAzeos	Text		From the Skies!	Z Przestworzy!	Vom Himmel herab!
Achievements/DefeatCoreCommander	Text	1.0	Visitor From A Dying World	Przybysz z umierającego świata	Abgesandter einer sterbenden Welt
Achievements/DefeatCrydra	Text	1.0	Howl of the Sea	Skowyt morza	Das Heulen des Meeres
Achievements/DefeatDruidra	Text	1.0	Song of the Woods	Pieśń lasu	Das Lied des Waldes
Achievements/DefeatGhorm	Text		Bugging Out	Bugging Out	Davongekrabbelt
Achievements/DefeatGlurch	Text		A Slimey Encounter	Oślizgłe Spotkanie	Eine schleimige Begegnung
Achievements/DefeatHivemother	Text		Watch Your Step	Uważaj Na Kroki	Pass auf, wohin du trittst
Achievements/DefeatIgneous	Text		Burning Through	Przepalenie 	Durchgebrannt
Achievements/DefeatIvy	Text		Toxic Personality	Toksyczna Osobowość	Toxischer Charakter
Achievements/DefeatKingSlime	Text		Slippery Shinobi	Oślizgły Shinobi	Schlüpfriger Shinobi
Achievements/DefeatMalugaz	Text		You're a Wizard	Jesteś Czarodziejem	Du bist ein Zauberer
Achievements/DefeatMorpha	Text		Slippery When Wet	Uwaga Ślisko	Vorsicht, Rutschgefahr
Achievements/DefeatOmoroth	Text		From the Depths!	Z Głębin!	Aus der Tiefe!
Achievements/DefeatPyrdra	Text	 [new]	Roar of the Flames	Ryk płomieni	Das Brüllen der Flammen
Achievements/DefeatRaAkar	Text		Just Deserts	Po Prostu Pustynia	Stinknormale Wüste
Achievements/DefeatUrschleim	Text	 [new]	Cambrian Behemoth	Kambryjski behemot	Kambrisches Ungetüm
Achievements/Discover100CookBookRecipes	Text		Certified Chef	Certyfikowany Kucharz	Geprüfter Chefkoch
Achievements/EquipRingOfRockAndStone	Text		Rock and Stone!	Rock and Stone!	Fels und Stein!
Achievements/FeedCattle	Text		A Good Life	Dobre Życie	Ein gutes Leben
Achievements/FirstPet	Text		Your Very First	Twój Pierwszy	Dein Allererstes
Achievements/GainOver200MovementSpeed	Text		In a Rush	W Pośpiechu	In Eile
Achievements/HarvestGoldenIngredient	Text		Farmer Midas	Roślinny Midas	Farmer Midas
Achievements/KeyArtCharacter	Text		Impersonator Syndrome	Syndrom Naśladowcy	Nachahmer-Syndrom
Achievements/MaxedOutCooking	Text		Cheese it!	Ser!	Alles Käse!
Achievements/MaxedOutCrafting	Text		Crafty Explorer	Sprytny Odkrywca	Pfiffiger Forscher
Achievements/MaxedOutFishing	Text		Completely Hooked	Na Haku Przeznaczenia	An Schicksals Haken
Achievements/MaxedOutGardening	Text		Nature Nurturer	Opiekun Natury	Natur-Nanny
Achievements/MaxedOutMagic	Text	 [new]	A Wizard Is Never Late	Czarodziej nigdy się nie spóźnia	Ein Zauberer kommt nie zu spät
Achievements/MaxedOutMelee	Text		...Sting like a bee	...Żądło jak pszczoła	... Stich wie eine Biene
Achievements/MaxedOutMining	Text		Diggy Diggy Hole	Diggy Diggy Hole	Wer andern eine Grube gräbt
Achievements/MaxedOutRange	Text		Robin Hood	Robin Hood	Robin Hood
Achievements/MaxedOutRunning	Text		Float like a butterfly...	Unosić się jak motyl...	Tanze wie ein Schmetterling ...
Achievements/MaxedOutSummoning	Text	 [new]	Stay Away From The Summoner!	Trzymaj się z dala od przywoływacza!	Komm' nicht in die Nähe des Mediums!
Achievements/MaxedOutVitality	Text		Health Conscious	Troska o zdrowie	Gesundheitsbewusst
Achievements/ObtainPhantomSpark	Text		The Phantom Spark	Iskra Widmo	Der Phantomfunke
Achievements/ObtainRuneSong	Text		The Rune Song	Runiczna Pieśń	Das Runenlied
Achievements/ObtainSoulSeeker	Text		The Soul Seeker	Poszukiwacz Dusz	Der Seelensucher
Achievements/ObtainTheOracleDeck	Text		The Heart of the Cards	Serce kart	Das Herz der Karten
Achievements/PetColors	Text		I want ’em all!	Chcę mieć je wszystkie!	Ich will sie alle haben!
Achievements/PetMaxLevel	Text		Pet Prodigy	Zwierzęcy talent	Na-Tier-Talent
Achievements/SitOnCavelingToiletWithACrown	Text		A Throne Fit for a King	Tron godny króla	Ein Thron für einen König
Achievements/StormSong	Text		A Strange Song	Dziwna pieśń	Ein seltsames Lied
Achievements/TalkToBigLarva	Text		Gossip Group	Grupa plotkarska	Kaffeekränzchen
AchievementsLockedDescription/CatchStarlightNautilus	Text		Catch a Starlight Nautilus	Złap Gwiezdnego Nautilusa	Sternlicht-Nautilus fangen
AchievementsLockedDescription/DefeatAtlanteanWorm	Text		Defeat an Atlantean Worm	Pokonaj Atlantydzkiego Robaka	Bezwinge einen Atlantischen Wurm
AchievementsLockedDescription/DefeatAzeos	Text		Defeat Azeos the Sky Titan	Pokonaj Azeosa Podniebnego Tytana	Azeos den Himmelstitanen bezwingen
AchievementsLockedDescription/DefeatCoreCommander	Text	 [new]	Defeat the Core Commander	Pokonaj Dowódcę Rdzenia	Bezwinge den Kernkommandanten
AchievementsLockedDescription/DefeatCrydra	Text	 [new]	Defeat Crydra the Ice Titan	Pokonaj Crydrę Lodowego Tytana	Bezwinge Crydra, den Eistitanen
AchievementsLockedDescription/DefeatDruidra	Text	 [new]	Defeat Druidra the Wild Titan	Pokonaj Druidrę Dzikiego Tytana	Bezwinge Druidra, den Wildtitanen
AchievementsLockedDescription/DefeatGhorm	Text		Defeat Ghorm the Devourer	Pokonaj Ghorma Pożeracza	Ghorm den Verschlinger bezwingen
AchievementsLockedDescription/DefeatGlurch	Text		Defeat Glurch the Abominous Mass	Pokonaj Glurcha Obrzydliwą Masę	Glurch die Abscheuliche Masse bezwingen
AchievementsLockedDescription/DefeatHivemother	Text		Defeat the Hive Mother	Pokonaj Matkę Ula	Die Nestmutter bezwingen
AchievementsLockedDescription/DefeatIgneous	Text		Defeat Igneous the Molten Mass	Pokonaj Igneousa Stopioną Masę	Igneous die Geschmolzene Masse bezwingen
AchievementsLockedDescription/DefeatIvy	Text		Defeat Ivy the Poisonous Mass	Pokonaj Ivy Trującą Masę	Ivy die Giftige Masse bezwingen
AchievementsLockedDescription/DefeatKingSlime	Text		Defeat King Slime	Pokonaj Króla Szlamu	Schleimkönig bezwingen
AchievementsLockedDescription/DefeatMalugaz	Text		Defeat Malugaz the Corrupted	Pokonaj Malugaza Skażonego	Malugaz den Korrupten bezwingen
AchievementsLockedDescription/DefeatMorpha	Text		Defeat Morpha the Aquatic Mass	Pokonaj Morpha Wodą Masę	Morpha die Aquatische Masse bezwingen
AchievementsLockedDescription/DefeatOmoroth	Text		Defeat Omoroth the Sea Titan	Pokonaj Omorotha Morskiego Tytana	Omoroth den Meerestitanen bezwingen
AchievementsLockedDescription/DefeatPyrdra	Text	 [new]	Defeat Pyrdra the Fire Titan	Pokonaj Pyrdrę Ognistego Tytana	Bezwinge Pyrdra, den Feuertitanen
AchievementsLockedDescription/DefeatRaAkar	Text		Defeat Ra-Akar the Sand Titan	Pokonaj Ra-Akara Piaskowego Tytana	Ra-Akar den Sandtitanen bezwingen
AchievementsLockedDescription/DefeatUrschleim	Text	 [new]	Defeat Urschleim	Pokonaj Urschleima	Bezwinge den Urschleim
AchievementsLockedDescription/Discover100CookBookRecipes	Text		Discover 100 recipes in the cook book	Odkryj 100 przepisów w książce kucharskiej	100 Rezepte im Kochbuch entdecken
AchievementsLockedDescription/EquipRingOfRockAndStone	Text		Equip the Ring of Rock and Ring of Stone	Wyposaż Pierścień Skały i Pierścień Kamienia	Ring der Felsen und Ring der Steine ausrüsten
AchievementsLockedDescription/FeedCattle	Text		Feed cattle	Nakarm zwierzę	Füttere ein Nutztier
AchievementsLockedDescription/FirstPet	Text		Hatch your first pet from an egg	Wykluj swojego pierwszego zwierzaka z jajka	Brüte dein erstes Haustier aus einem Ei aus
